bait_locus	prey_locus
JW2557	JW0939
JW2557	JW1612
JW2557	JW2556
JW2557	JW2947
JW2557	JW2989
JW2557	JW5543
JW2557	JW5772
JW2564	JW0043
JW2564	JW5162
JW2573	JW1994
JW2573	JW5258
JW2578	JW0167
JW2578	JW2578
JW2582	JW0043
JW2582	JW3011
JW2588	JW2588
JW2598	JW0404
JW2601	JW2601
JW2608	JW1707
JW2608	JW3208
JW2608	JW3720
JW2627	JW4139
JW2635	JW3748
JW2637	JW1994
JW2637	JW4268
JW2644	JW0947
JW2648	JW2651
JW2648	JW5772
JW2650	JW0762
JW2652	JW0858
JW2652	JW2652
JW2660	JW2660
JW2663	JW0195
JW2663	JW0254
JW2666	JW0455
JW2671	JW2947
JW2671	JW2989
JW2671	JW5702
JW2683	JW5117
JW2698	JW2958
JW2699	JW2958
JW2700	JW0258
JW2700	JW0892
JW2700	JW1906
JW2700	JW2691
JW2700	JW2700
JW2700	JW4361
JW2700	JW5433
JW2713	JW4139
JW2715	JW5300
JW2718	JW0081
JW2718	JW0094
JW2725	JW1823
JW2725	JW1951
JW2725	JW2725
JW2734	JW2734
JW2734	JW5126
JW2757	JW0866
JW2762	JW0819
JW2766	JW4011
JW2770	JW2770
JW2770	JW3248
JW2774	JW2774
JW2779	JW5702
JW2781	JW2781
JW2787	JW0258
JW2787	JW5024
JW2787	JW5772
JW2797	JW2566
JW2797	JW2947
JW2797	JW3314
JW2797	JW5856
JW2801	JW3171
JW2806	JW0258
JW2806	JW4085
JW2807	JW0258
JW2807	JW4331
JW2807	JW5702
JW2815	JW2947
JW2820	JW2715
JW2837	JW2837
JW2860	JW0258
JW2860	JW2947
JW2860	JW5772
JW2862	JW2862
JW2862	JW2947
JW2871	JW2872
JW2872	JW1165
JW2874	JW2924
JW2885	JW0453
JW2885	JW0594
JW2885	JW1165
JW2885	JW1389
JW2885	JW4331
JW2885	JW5057
JW2885	JW5264
JW2885	JW5543
JW2892	JW2892
JW2893	JW1082
JW2905	JW2511
JW2905	JW2683
JW2905	JW2905
JW2905	JW5909
JW2914	JW5125
JW2917	JW2917
JW2918	JW0043
JW2919	JW5381
JW2919	JW5550
JW2922	JW0043
JW2922	JW2136
JW2922	JW2683
JW2922	JW2965
JW2922	JW5702
JW2926	JW1441
JW2926	JW2730
JW2946	JW0594
JW2946	JW2433
JW2956 	JW5559
JW2958	JW0258
JW2958	JW0892
JW2958	JW2691
JW2958	JW2699
JW2958	JW5772
JW2961	JW5873
JW2973	JW2973
JW2974	JW2974
JW2985	JW2970
JW2985	JW2985
JW2989	JW0453
JW2989	JW0939
JW2989	JW1328
JW2989	JW1688
JW2989	JW1695
JW2989	JW1956
JW2989	JW2725
JW2989	JW2947
JW2989	JW2989
JW2989	JW3152
JW2989	JW5543
JW2989	JW5584
JW2989	JW5787
JW2995	JW0453
JW2995	JW0758
JW2995	JW4342
JW2998	JW2998
JW2999	JW3583
JW3000	JW0043
JW3009	JW3009
JW3036	JW0258
JW3036	JW1796
JW3036	JW3036
JW3038	JW0258
JW3038	JW2433
JW3039	JW0058
JW3039	JW3039
JW3039	JW3959
JW3039	JW5772
JW3041	JW0635
JW3053	JW2627
JW3053	JW3054
JW3058	JW0229
JW3058	JW1172
JW3058	JW2725
JW3058	JW2989
JW3058	JW3976
JW3058	JW5577
JW3073	JW0043
JW3073	JW0659
JW3073	JW0758
JW3076	JW3077
JW3076	JW3712
JW3076	JW5361
JW3095	JW1994
JW3106	JW1907
JW3126	JW0043
JW3129	JW5300
JW3150	JW2989
JW3154	JW2989
JW3156	JW1994
JW3156	JW3011
JW3171	JW2517
JW3171	JW2627
JW3171	JW2947
JW3171	JW5543
JW3171	JW5772
JW3174	JW3455
JW3176	JW0043
JW3176	JW2433
JW3176	JW5035
JW3176	JW5543
JW3176	JW5674
JW3178	JW2316
JW3181	JW2517
JW3182	JW5702
JW3187	JW1956
JW3188	JW2517
JW3188	JW2627
JW3197	JW2627
JW3198	JW0720
JW3198	JW3198
JW3205	JW2444
JW3217	JW3098
JW3224	JW2313
JW3224	JW2414
JW3224	JW3224
JW3227	JW3232
JW3232	JW1394
JW3232	JW1534
JW3232	JW2517
JW3232	JW5543
JW3242	JW0553
JW3242	JW3626
JW3242	JW5543
JW3245	JW5158
JW3248	JW0659
JW3248	JW2627
JW3248	JW3626
JW3249	JW5300
JW3264	JW0758
JW3264	JW2268
JW3266	JW0563
JW3266	JW3837
JW3268	JW3037
JW3268	JW3153
JW3268	JW3222
JW3268	JW3258
JW3268	JW3263
JW3268	JW3268
JW3268	JW3278
JW3268	JW3279
JW3268	JW3445
JW3268	JW4160
JW3268	JW5228
JW3278	JW5413
JW3291	JW1394
JW3291	JW2371
JW3291	JW2973
JW3302	JW5396
JW3315	JW0623
JW3315	JW3371
JW3324	JW0459
JW3324	JW1983
JW3324	JW3324
JW3324	JW3325
JW3324	JW5150
JW3328	JW3377
JW3337	JW1417
JW3337	JW2942
JW3337	JW3216
JW3337	JW3337
JW3337	JW3349
JW3352	JW0043
JW3352	JW0709
JW3352	JW1994
JW3352	JW3011
JW3352	JW3352
JW3363	JW0258
JW3363	JW0459
JW3363	JW0594
JW3363	JW0714
JW3363	JW1165
JW3363	JW2092
JW3363	JW2161
