STAT2 	BST2 	
STAT2 	BST2 	
REST 	BSX 	
ZBTB33 	BTBD10 	
CHD2 	BTBD10 	
CTCF 	BTBD17 	
NRF1 	BTF3 	
GTF2B 	BTG1 	
GATA2 	BTG2 	
TAL1 	BTG2 	
SPI1 	BTK 	
SIX5 	BTRC 	
SIX5 	BUB1B 	
CEBPB 	BUD31 	
JUN 	BUD31 	
BCL3 	BZRAP1 	
BCLAF1 	BZRAP1 	
SIN3A 	BZRAP1 	
SRF 	BZRAP1 	
ZBTB7A 	BZRAP1 	
SMARCA4 	BZRAP1 	
SMARCB1 	BZRAP1 	
TAL1 	BZRAP1 	
IRF1 	BZW2 	
THAP1 	C10orf119 	
YY1 	C10orf119 	
E2F6 	C10orf18 	
MAX 	C10orf18 	
NRF1 	C10orf18 	
E2F6 	C10orf25 	
USF1 	C10orf46 	
TAL1 	C10orf71 	
NRF1 	C10orf88 	
RAD21 	C11orf1 	
GABPA 	C11orf10 	
GABPA 	C11orf2 	
SIX5 	C11orf2 	
TAL1 	C11orf21 	
FOS 	C11orf35 	
SP2 	C11orf46 	
SP2 	C11orf48 	
USF1 	C11orf59 	
NFE2 	C11orf59 	
EGR1 	C11orf68 	
FOSL1 	C11orf68 	
ELF1 	C11orf71 	
GABPA 	C11orf73 	
SIX5 	C11orf73 	
SIX5 	C11orf74 	
SP2 	C11orf83 	
CTCFL 	C11orf9 	
ZBTB7A 	C11orf95 	
CHD2 	C12orf11 	
ZBTB7A 	C12orf23 	
MAX 	C12orf24 	
MYC 	C12orf24 	
MYC 	C12orf24 	
MYC 	C12orf24 	
MYC 	C12orf24 	
CTCFL 	C12orf26 	
SRF 	C12orf26 	
NFYB 	C12orf41 	
YY1 	C12orf43 	
YY1 	C12orf43 	
SP2 	C12orf44 	
USF1 	C12orf49 	
BCLAF1 	C12orf57 	
TAF7 	C12orf57 	
SMARCA4 	C12orf57 	
GTF2B 	C12orf57 	
TAL1 	C12orf57 	
ELF1 	C12orf66 	
USF1 	C12orf73 	
JUN 	C13orf29 	
MAFK 	C14orf147 	
MAFK 	C14orf4 	
SRF 	C14orf43 	
CEBPB 	C14orf43 	
NFYB 	C14orf80 	
YY1 	C15orf23 	
YY1 	C15orf23 	
ELF1 	C15orf24 	
YY1 	C15orf24 	
YY1 	C15orf24 	
USF1 	C15orf34 	
NFE2 	C15orf34 	
USF2 	C15orf34 	
CTCFL 	C15orf40 	
THAP1 	C15orf41 	
FOS 	C15orf42 	
USF1 	C15orf57 	
POLR3A 	C16orf13 	
