POU2F2 	BLCAP 	
POU2F2 	BLCAP 	
BATF 	BLK 	
BCL11A 	BLK 	
MEF2A 	BLK 	
SPI1 	BLK 	
JUND 	BLK 	
NFKB1 	BLK 	
ATF3 	BLOC1S1 	
USF1 	BLOC1S1 	
NFE2 	BLOC1S1 	
USF2 	BLOC1S1 	
ELF1 	BLOC1S3 	
RFX5 	BLOC1S3 	
SPI1 	BMF 	
GABPA 	BMS1 	
GABPA 	BMS1P4 	
CTCF 	BNIP1 	
CTCF 	BNIP1 	
CTCF 	BNIP1 	
RAD21 	BOD1 	
SIX5 	BOD1 	
ZNF143 	BOD1 	
SIX5 	BOLA1 	
USF1 	BOLA1 	
USF2 	BOLA1 	
ZNF143 	BOLA1 	
CTCF 	BOLA3 	
PBX3 	BPGM 	
EBF1 	BPGM 	
CTCF 	BPTF 	
ELF1 	BRAP 	
ELF1 	BRCA2 	
USF1 	BRCA2 	
NRF1 	BRD2 	
GABPA 	BRD9 	
GABPA 	BRF2 	
ELF1 	BRMS1 	
ZNF143 	BRMS1L 	
YY1 	BRP44 	
CHD2 	BRP44 	
YY1 	BSCL2 	
REST 	BSN 	
REST 	BSX 	
ETS1 	BTBD10 	
ZBTB33 	BTBD10 	
BRCA1 	BTBD10 	
CHD2 	BTBD10 	
NRF1 	BTBD12 	
PBX3 	BTD 	
POU2F2 	BTG1 	
POU2F2 	BTG1 	
SPI1 	BTK 	
RFX5 	BTN2A1 	
RFX5 	BTN2A2 	
RFX5 	BTN2A3 	
RFX5 	BTN3A1 	
RFX5 	BTN3A2 	
RFX5 	BTN3A3 	
SIX5 	BTRC 	
ZNF143 	BTRC 	
SIX5 	BUB1B 	
ZNF143 	BUB1B 	
SIX5 	BUB3 	
ZNF143 	BUB3 	
BATF 	BZRAP1 	
BCL11A 	BZRAP1 	
BCL3 	BZRAP1 	
BCLAF1 	BZRAP1 	
EBF1 	BZRAP1 	
EBF1 	BZRAP1 	
EGR1 	BZRAP1 	
ELF1 	BZRAP1 	
ETS1 	BZRAP1 	
IRF4 	BZRAP1 	
IRF4 	BZRAP1 	
MEF2A 	BZRAP1 	
MEF2C 	BZRAP1 	
POU2F2 	BZRAP1 	
EP300 	BZRAP1 	
PAX5 	BZRAP1 	
PAX5 	BZRAP1 	
PBX3 	BZRAP1 	
POU2F2 	BZRAP1 	
SPI1 	BZRAP1 	
RXRA 	BZRAP1 	
SRF 	BZRAP1 	
SRF 	BZRAP1 	
TCF12 	BZRAP1 	
NFKB1 	BZRAP1 	
EGR1 	BZW1 	
CHD2 	BZW1 	
NRF1 	C10orf111 	
ZEB1 	C10orf118 	
YY1 	C10orf119 	
USF2 	C10orf128 	
CHD2 	C10orf137 	
NRF1 	C10orf18 	
GABPA 	C10orf2 	
ELF1 	C10orf26 	
ATF3 	C10orf46 	
USF1 	C10orf46 	
USF2 	C10orf46 	
EBF1 	C10orf54 	
ZNF143 	C10orf76 	
NRF1 	C10orf88 	
CTCF 	C11orf1 	
USF1 	C11orf10 	
ZNF143 	C11orf10 	
ELF1 	C11orf2 	
GABPA 	C11orf2 	
SIX5 	C11orf30 	
ZNF143 	C11orf30 	
BCLAF1 	C11orf31 	
GABPA 	C11orf31 	
SIX5 	C11orf58 	
ZNF143 	C11orf58 	
USF1 	C11orf59 	
NFE2 	C11orf59 	
USF2 	C11orf59 	
