InteractorA	InteractorB
Q39050	P59220
P59220	Q8RWQ8
Q9SK33	EBI-2113579
Q9LFT8	Q8LBC0
O23171	Q9LFT6
Q9C5C0	P25854
Q39183	Q9XF67
P42775	EBI-1793589
Q9SJW9	B7U179
Q39050	O23320
O23552	Q9S744
EBI-1645111	P92973
Q9ZPX9	Q9FHN8
Q9XF67	Q39183
Q9FIW6	Q9S744
Q9LDI3	Q9S744
Q949M9	Q9LFR3
Q3EBC8	Q8GY79
O81775	Q9S752
P93050	P59220
Q9LZV7	Q9S744
O81292	Q9S744
Q8LE56	P30187
O82754	P25854
Q8RWC9	Q8RWC9
Q39019	P25071
Q9C5U2	Q9CAR7
Q8GY79	Q9SP32
Q3EBC8	Q9LXW7
Q39162	P30187
Q7X7A9	P25071
Q7X9H6	Q03509
Q9LJY7	O23320
Q9SKN2	P25854
Q9M8T0	Q9S744
Q9SGN7	Q03509
Q39011	Q39011
Q03509	Q8W490
Q8GY88	P30187
Q42479	Q03509
Q9LQ65	O23320
O64817	P25071
Q9SJX8	Q9S744
Q8GUP1	A9LNK9
O65554	P59220
Q39050	P25071
Q9ZVM9	Q03509
Q9SLP1	P59220
Q2HIV3	Q9SAZ5
Q39009	P94102
D3K0M2	P30187
Q93V62	Q9FG81
Q93Z30	P25854
Q84JC2	P59220
Q9LSI9	P59220
Q9SSC7	Q03509
Q9LX56	Q9S744
P55034	Q9SII8
Q9ZUI9	P25071
Q9FL19	P30187
Q9ATB4	Q9AR19
Q9S7H5	P25854
O23145	Q9S744
Q8GRU8	P23321
O64817	P59220
Q9M7Q2	Q9S744
Q9M1S9	B7U179
Q1PEU3	P17839
Q9SAZ5	Q8L9Y3
Q9FG20	P59220
O80651	Q03509
Q8GZ99	O23320
Q9FIW6	Q03509
Q9SVQ0	Q8L765
O49396	P25071
Q9MAB4	O23320
Q9FHZ1	P25071
O49686	O49686
Q9LEZ3	Q9SAD4
O22179	P59220
Q9XF67	Q9LUK3
Q93Z00	Q9S7W5
Q9ZUB3	Q94BN2
F4IZC5	Q8H0X6
Q84MC7	O04719
Q9LV04	Q03509
Q94AH9	Q9SU94
O65554	Q9S744
Q9LSI9	P30187
O23552	P59220
Q9SB04	Q67XQ1
Q29Q72	Q03509
B9DGI8	Q9LZP8
P25071	Q93Z27
Q94JY4	Q94JY4
Q38876	O23320
Q9FX43	Q9SJG9
P43294	P59220
O04567	Q9S744
P43294	P30187
Q8GZ99	P59220
Q94A06	Q39024
Q9FXT6	Q9FMA3
Q8L7G0	Q8L7G0
Q8L7G0	Q9SN12
O22763	Q9S744
Q9LXE3	Q8L5Z0
Q7X9H6	Q9S744
O65554	P30187
Q8GY11	P30187
Q8GYF5	Q9S744
O81346	P59220
Q9M9C3	P30187
O23320	Q7X9N2
O04492	O04492
Q8GZM7	O80536
Q84W01	P25854
EBI-1543126	Q39008
Q9LSI9	Q03509
Q9FM43	O23320
Q9M2K4	P59220
Q9LQQ9	Q9S7U9
P82874	Q94F58
O22921	Q39026
P83755	Q9S744
P25854	Q9FUD3
Q8LE56	Q03509
Q8W234	Q9FUY2
P55737	Q9S744
Q949Y0	P25069
Q9FQ09	Q84LH3
Q9FKA0	Q9FFH0
Q8LE56	P25854
Q9LV04	O23320
Q29Q72	P30187
O65469	Q03509
EBI-1645111	P40228
P19456	O22932
Q9SRQ3	Q9SRQ3
Q9FLL0	P30187
Q9SJF3	Q8GW31
Q9FGF5	Q9S744
Q8VZ95	P93004
Q9XF67	Q9SJM3
O04292	Q9SAD4
Q93Z27	Q9S744
Q9FUD3	Q03509
Q9FGQ7	Q9LZ78
