InteractorA	InteractorB
P80667	P40453
P48837	Q02630
P39955	Q04439
P53281	P40483
Q12199	P32793
P32790	P54199
P32793	P25604
P06787	P46995
P32830	P87108
P40450	Q04439
P18410	P04821
P0CF34	P49095
P0CG63	P54781
P0CG63	Q06070
P38822	P40563
P36006	Q03944
Q00916	P32793
P01094	P43582
P43583	P32835
P25561	P39940
P38720	P33203
P07264	EBI-11666137
P39940	P36140
P0CG63	P15703
Q12306	P43582
P06104	Q07457
P39083	P40073
Q06706	Q04868
Q04322	P39743
P46946	P46946
P38773	P43582
P36036	P43603
P0CG63	P0C2H6
P39743	P38266
P37254	P22696
P0CG63	P26786
P53759	P53076
P25576	P40318
P54885	P22696
P04802	P33203
P38165	P34730
Q07505	P46995
P22216	P43601
P16892	P32830
P38140	P43603
P38257	Q04149
P15891	P53974
Q05549	P47068
P34164	P43582
P32790	P32790
Q02642	P04456
P39002	P04821
P53039	P38815
P40959	P39940
P34072	P32608
P53686	Q08649
P07834	Q08273
P46151	P40318
P32502	P12754
P26793	P15873
P32614	P22696
P40960	P15891
P34730	Q00816
P38295	P39940
P53933	P38822
P17967	Q03103
EBI-10821373	Q12339
P32356	P34730
P53104	Q12292
Q08647	EBI-10860871
P04821	P25374
Q04697	P40318
Q00246	P40073
P32471	P02994
P0CG63	Q12329
P12954	P15873
Q03921	Q03921
O13561	P38041
P35193	Q12527
Q12298	P43582
P40095	P39969
Q06706	Q02884
Q6Q5H1	P39940
Q04439	Q01389
P21268	P18851
P11154	P43582
P29468	P54000
P0CG63	P48589
P11353	P43582
P25561	P46995
P0CG63	P00950
P32793	Q12164
P53152	P52490
P33400	P39743
P38815	P53845
P53094	P36006
P40014	Q04477
P39015	P39940
P01094	P46995
Q01852	P32897
P53135	Q08032
P41816	P39940
P10963	P43582
Q03796	P11710
P06787	Q06525
EBI-11705578	P39707
P08018	P80667
Q00916	P39743
P80667	P40956
P36123	P32793
EBI-10824938	P39990
EBI-11705717	P53720
P49334	P53220
P40561	P39940
P38266	P15891
P0CG63	P39940
Q08229	P29366
P0CG63	P38704
P53197	Q08981
P46672	P00958
Q06508	P39940
P54885	Q08409
P53089	Q06525
P00546	P09119
P53145	Q04439
P32908	P47037
P23542	P22696
Q06597	P22696
P48559	P46995
P11978	P06701
P07170	P39940
Q05979	P22696
P06367	Q06525
Q12007	P40318
P00925	P46995
P53193	Q03020
P0CG63	P00924
P40482	P15303
P29496	P24279
Q04212	P39940
P25044	P39940
Q04372	P32600
P15873	Q12306
Q02630	P52891
Q04964	P39743
P0CG63	P35997
P46973	Q08932
O13550	P46995
P06787	P43582
Q06412	P40073
P36006	P37370
P00546	P20438
P10592	P33203
P0CG63	P53615
P39683	P40318
P15646	Q02555
Q08438	Q08438
P29295	P35193
P38879	P34909
P50101	P33203
P40344	P38182
Q03919	P22696
P32793	P40956
Q06597	P33203
P11986	P11710
P38158	P40318
Q12060	P13393
P25561	P33203
P53866	P53131
Q03020	P53193
P39743	P38140
Q12298	P22696
P32803	P33203
P0CF34	Q12179
P32343	P39940
P47035	Q00684
P21524	P40318
P0CG63	Q02890
P53874	P43582
P39940	P53108
Q03067	P53165
P22696	P23254
P0CG63	P04050
P35187	P22216
P29340	P39718
P53244	P39940
P23254	P39940
P40494	P15891
P38009	P40318
P25847	Q03834
Q12383	EBI-11701142
P39955	P36006
P53933	P39743
Q05775	P43582
Q03919	P33203
P00817	P39940
P05750	P46683
P0CG63	P53030
Q00453	Q04439
P0CG63	P38631
P28496	Q03579
P0CG63	Q08553
P42935	P33203
Q06142	P20676
P48559	P22696
P42939	Q99176
Q12168	P38041
P25651	Q04087
P48562	Q04439
Q03770	P04821
P33334	Q04439
Q04439	P40021
P11978	P11938
P06784	P32917
P43605	P15873
Q02199	Q02199
P39955	Q05080
O13531	Q06525
P39743	P40563
Q02629	P46673
P36006	P36054
P31787	Q06525
P0CG63	P48510
Q06833	P80667
P25604	P38753
P36036	P32793
P15646	EBI-10921362
P49686	Q02199
P07170	P53076
P43565	P53897
Q06525	P32523
Q01560	Q01560
P32614	P33203
Q12338	Q05635
P06738	P40318
P24869	P38826
Q08968	P43582
P25604	P43603
Q12306	P22696
P0CG63	Q12460
P33399	P39940
P38523	P33203
Q02629	P49686
P36121	P43582
P48510	P34222
P39015	P40318
P36060	P33203
P0CF34	P32526
P35203	P52286
Q01389	P36006
P0CG63	P05754
P09119	P43603
P35729	P35729
P19658	Q00245
P49723	Q06525
P0CG63	P15705
Q08968	P40318
P0CG63	Q00402
P24869	Q03898
P53094	Q04439
P11076	Q12114
P0CG63	P02994
P0CG63	P05736
Q04372	P23595
P12612	P22696
Q04336	P39940
Q07657	P43603
Q06440	P39940
Q06142	Q02629
Q02725	Q06449
P53281	P43585
P54885	P40318
P40477	Q06142
P32504	P32383
P48567	EBI-11701537
P38266	P43603
Q12326	Q06525
Q04749	P32793
Q06697	P27692
P40955	Q12114
P46995	P61830
P32419	P39940
P0CF34	Q06604
P49095	P04821
P38289	P32793
P49723	P46995
Q12164	P43603
P33767	P41811
P0CG63	P31539
P53901	P32793
P17255	P32366
Q02630	P49687
Q03210	P33203
P38915	P13393
P35201	P25651
P53146	Q12745
P25441	P43603
P04801	P33203
P39927	P36006
P06738	P33203
P40318	P25617
EBI-10824938	Q03338
P33203	Q10740
P15891	P40563
Q06522	P33203
P25044	Q06525
P32835	P40318
Q04697	P33203
Q01560	P43582
P12612	P33203
Q06623	Q06629
P49686	Q05166
P0CG63	P37838
Q03824	P19524
P47066	Q06525
P0CG63	P17076
P38787	P40318
P00729	Q08109
Q05789	Q05789
Q12211	P32793
P38753	P08458
P15790	P40458
P40968	P32523
P10963	P46995
P00950	P53076
Q06833	P39743
P0CG63	P02365
EBI-11703304	P53331
O13550	P33203
P53982	P40318
P48562	P36006
P0CG63	P23301
P36069	P39940
P40892	P39940
P48581	Q02574
P31115	EBI-11681759
P40563	P43603
Q92392	P39940
P36006	Q03497
Q12018	Q08273
Q12199	P43603
P0CF34	P22082
P53864	Q06525
P25632	P43609
Q12298	P39940
Q02776	Q02776
P07807	P43582
Q12446	P32793
P40959	P40318
P36006	Q01389
P38874	Q04868
P43603	P40563
P00431	P00044
P32499	Q06142
Q02629	P35729
P06103	P40217
P41903	P43582
P04387	P04385
P48837	Q06142
P53839	Q06525
Q02630	Q01560
P53039	Q07528
P54000	P25299
Q08912	P36006
P40020	P39969
P38081	Q08409
P0CG63	Q12000
P47137	Q06525
P41816	P22696
P47068	Q06833
P0CG63	P22146
P39958	P01123
P10592	Q06525
P40563	P53281
P32855	P32793
P38720	P39940
P46655	P33203
Q06287	Q06287
EBI-11701622	Q08647
P53265	P22696
P47137	Q08409
P02829	P25638
P0CG63	P07259
P01094	P33203
P46672	P46655
P15496	P39940
P29366	Q08229
Q07953	P39940
P32381	Q06525
P13712	P38041
P0CG63	P26781
P39564	P43603
P39683	P22696
P25627	P53738
P38716	P40318
P40574	P43603
P38729	P22696
Q12451	Q04439
P38081	P22696
Q07657	P32793
P07347	Q08689
Q12018	P52286
P50275	P53281
P32505	P38074
Q01560	Q06525
P32793	Q12446
P53738	EBI-11703618
P14680	P10961
P53072	EBI-11683887
Q12466	P43603
P36122	P40073
EBI-10821555	Q06106
P40217	P06103
Q12200	P32793
P34245	Q04439
P34164	P33203
P10963	P39940
Q12114	Q05029
P15202	P39940
Q12446	Q04439
P32914	P39940
P53072	EBI-11683890
O13531	P39940
P42841	Q06224
P32628	P38764
P25044	P40318
Q05979	P33203
Q02629	Q05166
Q02783	Q01926
P15496	P22696
P32790	P40563
P49686	P52891
Q01329	P29468
EBI-11701334	P38205
P30952	P22696
P47101	P04821
EBI-10824938	P49960
P16862	P40318
Q06142	Q02199
P15873	P12954
P48510	P38886
Q02630	P46673
P20436	P39940
P02829	Q08446
P49723	P09938
P04821	P34227
P25298	Q99383
P06701	P11938
P10592	P22696
P50278	P40318
P40453	P43603
Q12122	P22696
P48837	P34077
P07269	P43603
P32793	Q04322
Q03780	P39743
Q12122	P33203
P25044	P43582
P47068	P43614
P38758	P39940
P04821	Q03796
P38697	P43582
P40563	Q04439
P53104	P35193
Q06405	P46995
P36076	Q08438
Q03900	Q04439
Q12365	P33419
P11353	P33203
P47137	P46995
P53864	P22696
P33334	P36006
P80210	P39940
P38739	P32793
P0CG63	P00358
P53759	EBI-11705578
Q10740	P40318
P07260	P39936
P32897	P53220
P40073	P53750
P38009	P39940
P06701	P06701
P0CG63	P32476
Q08975	P39940
P49686	P48837
P20676	Q06142
P00817	Q06525
Q05506	EBI-11681775
P0CG63	P02406
P36084	Q12186
P32288	P40318
P0CG63	Q3E757
P27692	Q06697
P0CG63	P33442
Q02648	EBI-12521831
P53043	P02829
P53942	Q12338
P32485	P38634
Q07622	P39940
P0CG63	P87262
P11710	Q99312
P17106	P35201
P32323	P32781
P32381	P46995
